left_im,right_im,leftori,rightori,corrAns,angle,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intructions_1.started,instr_key_1.started,instr_textbox1.started,Intructions_1.stopped,instr_key_1.keys,instr_key_1.rt,instr_key_1.duration,Intructions_2.started,image_L_3.started,image_R_3.started,instr_key_2.started,instrtxt2.started,Intructions_2.stopped,trial.started,image_L.started,image_R.started,key_resp.started,main_instr.started,trial_count.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,feedback.started,fbtext.started,fbtext.stopped,feedback.stopped,the_end.started,end_txt.started,end_key.started,text.started,the_end.stopped,session,participant,date,expName,psychopyVersion,frameRate,expStart,
FR.png,F.png,0,315,m,315,19,19,0,m,1,0.08709559985436499,None,0,19,19,31,21.23359979991801,,,,,,,,,,,,,,,21.21027610008605,21.23359979991801,21.23359979991801,21.23359979991801,21.23359979991801,21.23359979991801,21.33091580006294,m,1,0.08709559985436499,None,21.33120090002194,21.343623700086027,21.959121600026265,21.82924579991959,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
FR.png,FR.png,0,90,n,90,20,20,0,m,0,0.08162980014458299,None,0,20,20,20,21.959121600026265,,,,,,,,,,,,,,,21.934427100000903,21.959121600026265,21.959121600026265,21.959121600026265,21.959121600026265,21.959121600026265,22.04694309993647,m,0,0.08162980014458299,None,22.048699599923566,22.06005429988727,22.648077599937096,22.54627580009401,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
FR.png,FR.png,0,0,n,0,21,21,0,m,0,0.10857739998027682,None,0,21,21,16,22.648077599937096,,,,,,,,,,,,,,,22.635247600032017,22.648077599937096,22.648077599937096,22.648077599937096,22.648077599937096,22.648077599937096,22.76375519996509,m,0,0.10857739998027682,None,22.764031799975783,22.775329899974167,23.401415100088343,23.260985600063577,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
F.png,F.png,0,0,n,0,22,22,0,m,0,0.1168325999751687,None,0,22,22,0,23.401415100088343,,,,,,,,,,,,,,,23.357014100067317,23.401415100088343,23.401415100088343,23.401415100088343,23.401415100088343,23.401415100088343,23.528334900038317,m,0,0.1168325999751687,None,23.52859320002608,23.541338100098073,24.156135499943048,24.02708559995517,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
F.png,FR.png,0,270,m,270,23,23,0,m,1,0.10985760018229485,None,0,23,23,13,24.156135499943048,,,,,,,,,,,,,,,24.127573400037363,24.156135499943048,24.156135499943048,24.156135499943048,24.156135499943048,24.156135499943048,24.278152599930763,m,1,0.10985760018229485,None,24.280376799870282,24.290680899983272,24.895824099890888,24.776257599936798,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
F.png,FR.png,0,90,m,90,24,24,0,m,1,0.17469430016353726,None,0,24,24,5,24.895824099890888,,,,,,,,,,,,,,,24.87538390001282,24.895824099890888,24.895824099890888,24.895824099890888,24.895824099890888,24.895824099890888,25.0772386000026,m,1,0.17469430016353726,None,25.077516800025478,25.089894300093874,25.714639900019392,25.576666600070894,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
FR.png,F.png,0,90,m,90,25,25,0,m,1,0.1632414001505822,None,0,25,25,21,25.714639900019392,,,,,,,,,,,,,,,25.680541699985042,25.714639900019392,25.714639900019392,25.714639900019392,25.714639900019392,25.714639900019392,25.89239659998566,m,1,0.1632414001505822,None,25.892692199908197,25.905699899885803,,26.393812000053003,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
F.png,FR.png,0,180,m,180,26,26,0,m,1,0.33763090008869767,None,0,26,26,9,26.547710499959067,,,,,,,,,,,,,,,26.50225850008428,26.547710499959067,26.547710499959067,26.547710499959067,26.547710499959067,26.547710499959067,26.891850299900398,m,1,0.33763090008869767,None,26.892108799889684,26.904854299966246,27.51343380007893,27.39017909998074,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
FR.png,F.png,0,0,m,0,27,27,0,m,1,0.2521209002006799,None,0,27,27,17,27.51343380007893,,,,,,,,,,,,,,,27.48028920008801,27.51343380007893,27.51343380007893,27.51343380007893,27.51343380007893,27.51343380007893,27.774314899928868,m,1,0.2521209002006799,None,27.77458789991215,27.78755629993975,28.402641899883747,28.272541200043634,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
F.png,F.png,0,90,n,90,28,28,0,m,0,0.229695999994874,None,0,28,28,4,28.402641899883747,,,,,,,,,,,,,,,28.372859199997038,28.402641899883747,28.402641899883747,28.402641899883747,28.402641899883747,28.402641899883747,28.640336300013587,m,0,0.229695999994874,None,28.642396699870005,28.65322869992815,29.268788299988955,29.13893310003914,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
F.png,FR.png,0,0,m,0,29,29,0,m,1,0.21790500008501112,None,0,29,29,1,29.268788299988955,,,,,,,,,,,,,,,29.242360800039023,29.268788299988955,29.268788299988955,29.268788299988955,29.268788299988955,29.268788299988955,29.489547699922696,m,1,0.21790500008501112,None,29.49136019987054,29.50204570009373,30.118492000037804,29.98767860000953,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
F.png,F.png,0,270,n,270,30,30,0,m,0,0.2450045000296086,None,0,30,30,12,30.118492000037804,,,,,,,,,,,,,,,30.08922649989836,30.118492000037804,30.118492000037804,30.118492000037804,30.118492000037804,30.118492000037804,30.371628399938345,m,0,0.2450045000296086,None,30.373421899974346,30.384930399945006,31.009522299980745,30.870104900095612,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
FR.png,FR.png,0,180,n,180,31,31,0,m,0,0.30944520002231,None,0,31,31,24,31.009522299980745,,,,,,,,,,,,,,,30.978531799977645,31.009522299980745,31.009522299980745,31.009522299980745,31.009522299980745,31.009522299980745,31.32205930002965,m,0,0.30944520002231,None,31.322324299952015,31.333872499875724,,31.84183120005764,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.86659920006059,31.883513999870047,31.883513999870047,31.883513999870047,37.49731469992548,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
